uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"d29e9616-232e-4bb4-8f54-aacbe60e4cee","D08","MAYF","MAYF.AOS.riparian.transect.08",,,,32.957869,-87.407764,"WGS84",0.2,81.3,0.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","upstream",17,16,94.1,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"c17d1295-6250-411c-98f7-12cd21d10028","D08","MAYF","MAYF.AOS.riparian.transect.07",,,,32.958672,-87.407890,"WGS84",0.8,77.8,1.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Left Bank","river Left",17,17,100.0,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"35d22b40-7e64-40b1-940d-f84b5b7bda40","D08","MAYF","MAYF.AOS.riparian.transect.10",,,,32.956048,-87.408543,"WGS84",0.7,78.1,0.7,"2017-08-10T14:30Z","NEON.DOC.003826vB","Left Bank","river Left",17,15,88.2,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"7165e1eb-6883-4cf2-9796-eeaabc3128ad","D08","MAYF","MAYF.AOS.riparian.transect.10",,,,32.956048,-87.408543,"WGS84",0.7,78.1,0.7,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","river Left",17,16,94.1,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"0ae438ec-1eae-4be0-b11b-aa7050207ffa","D08","MAYF","MAYF.AOS.riparian.transect.06",,,,32.959618,-87.407580,"WGS84",0.4,77.4,0.6,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","downstream",17,16,94.1,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"a53fe267-3717-4f7e-8c1f-a4bca8531138","D08","MAYF","MAYF.AOS.riparian.transect.07",,,,32.958672,-87.407890,"WGS84",0.8,77.8,1.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","river Left",17,14,82.4,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"d2d0a087-7e43-4a03-88d4-2ea034efdef4","D08","MAYF","MAYF.AOS.riparian.transect.08",,,,32.957869,-87.407764,"WGS84",0.2,81.3,0.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","river Right",17,16,94.1,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"24e730a8-049c-46fb-9109-f4742a9f6d77","D08","MAYF","MAYF.AOS.riparian.transect.09",,,,32.956931,-87.407940,"WGS84",0.4,88.7,0.4,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","downstream",17,15,88.2,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"9f1d5201-50cd-460f-a7c1-77fa009e22aa","D08","MAYF","MAYF.AOS.riparian.transect.07",,,,32.958672,-87.407890,"WGS84",0.8,77.8,1.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Center","downstream",17,16,94.1,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
"e734c603-f344-48e3-a91f-eeb2f4331fcf","D08","MAYF","MAYF.AOS.riparian.transect.08",,,,32.957869,-87.407764,"WGS84",0.2,81.3,0.2,"2017-08-10T14:30Z","NEON.DOC.003826vB","Left Bank","river Left",17,15,88.2,,"wUBWszgu2lHQd7NU26k95uDbEkzOz0zmn9by+DXEi6M=","0CMTNH3k2YXA39yBCO4z+sSEXId+n9/KQg77YfTK99M=",
