uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"78d6fbd2-62c3-4ce5-8eb1-c636a5867469","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.C",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"65cc195e-7cbc-4292-bc78-11152cbdcd7b","D17","BIGC","BIGC.AOS.riparian.transect.08","BIGC.08.20190715.R",,1,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Right Bank","river Right",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"967b5e5c-2e4e-4f19-8dae-4733a924fef3","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.C",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,14,82.4,"All center points on top of log/debris jam approx. 0.3 above water surface","esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"2eefc896-4860-48d9-ba87-123b1522cb9c","D17","BIGC","BIGC.AOS.riparian.transect.07","BIGC.07.20190715.C",,1,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,12,70.6,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"e2ce84e6-01d5-46f1-b5fa-0772ae4ef6a2","D17","BIGC","BIGC.AOS.riparian.transect.08","BIGC.08.20190715.C",,1,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,17,100.0,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"6c01201c-ffe8-42e6-a18c-d757015d7ef5","D17","BIGC","BIGC.AOS.riparian.transect.04","BIGC.04.20190715.C",,1,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Left",17,13,76.5,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"f140c21c-5dea-4a0c-828c-52c37d406f8d","D17","BIGC","BIGC.AOS.riparian.transect.03","BIGC.03.20190715.R",,1,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Right Bank","river Right",17,16,94.1,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"c049e6b2-246c-4a31-b20b-cc7b2e6c7901","D17","BIGC","BIGC.AOS.riparian.transect.03","BIGC.03.20190715.C",,1,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","river Right",17,16,94.1,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"bad2c5ce-f63a-423e-9453-67e2d3a277fb","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.C",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","upstream",17,14,82.4,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
"1dc08176-2be3-4a9a-bcee-789b9f61a19c","D17","BIGC","BIGC.AOS.riparian.transect.04","BIGC.04.20190715.C",,1,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC","Center","downstream",17,13,76.5,,"esHShqwTCLws5x7riyt3Vi89pVmM1N6t","esHShqwTCLzq7N2ZNuboL6Oq0wByzx9d",
