uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"23e940d3-e9d0-4027-bf58-99b0cc741338","D18","OKSR","OKSR.AOS.riparian.transect.07","OKSR.07.20200807.C",,1,68.669283,-149.146855,"WGS84",0.3,768.9,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","river Left",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"53b55290-8526-4190-bf74-5118d7ecdc68","D18","OKSR","OKSR.AOS.riparian.transect.09","OKSR.09.20200807.C",,1,68.668880,-149.151299,"WGS84",0.1,770.7,0.1,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","downstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"b30de957-160b-413a-9a22-e7abeaa29c9e","D18","OKSR","OKSR.AOS.riparian.transect.06","OKSR.06.20200807.C",,1,68.669145,-149.144536,"WGS84",0.3,768.3,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","river Right",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"b1f10693-3333-4592-adc4-f7df78ce0f2b","D18","OKSR","OKSR.AOS.riparian.transect.06","OKSR.06.20200807.L",,1,68.669145,-149.144536,"WGS84",0.3,768.3,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Left Bank","river Left",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"c92b7b22-b4ab-44c8-b34d-084cf7e99ad7","D18","OKSR","OKSR.AOS.riparian.transect.01","OKSR.01.20200807.C",,1,68.671416,-149.137117,"WGS84",0.1,765.9,0.1,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","downstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"d65f5f6b-4e83-416b-805a-aee1b363bb7b","D18","OKSR","OKSR.AOS.riparian.transect.03","OKSR.03.20200807.L",,1,68.670368,-149.140758,"WGS84",0.4,767.7,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Left Bank","river Left",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"670c4691-2582-4e59-9d83-e8e79120b418","D18","OKSR","OKSR.AOS.riparian.transect.07","OKSR.07.20200807.C",,1,68.669283,-149.146855,"WGS84",0.3,768.9,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","upstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"1dfae06d-fe36-471a-aba9-563ddb5f2d07","D18","OKSR","OKSR.AOS.riparian.transect.06","OKSR.06.20200807.C",,1,68.669145,-149.144536,"WGS84",0.3,768.3,0.5,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","downstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"f154614a-9d96-4156-9c74-6ac6707be86d","D18","OKSR","OKSR.AOS.riparian.transect.04","OKSR.04.20200807.C",,1,68.669612,-149.141683,"WGS84",0.4,767.8,0.4,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","downstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
"74115b75-5dac-4fad-8031-88a44425ddc6","D18","OKSR","OKSR.AOS.riparian.transect.08","OKSR.08.20200807.C",,1,68.669043,-149.149262,"WGS84",0.4,769.2,0.6,"2020-08-07T22:00Z","NEON.DOC.003826vE","Center","upstream",17,0,0.0,,"esHShqwTCLyyPCgpeCa41mI6LkWuockx","esHShqwTCLw28LpTzPCKu0rGSr6MTOex",
