uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,dataQF
"7fc33aa1-79fd-447c-8333-79a67f6d3998","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-04","MAYF.20171030.SNAG.5",,,"PLESP","Y","Plecoptera sp.",,"order","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera",,,,,,,,,"sp.",,"larva",1,,1,56,2,"Y","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","J. Pfeiffer",,
"0c7d2890-58c0-4ebf-ba15-3a4cc5a415a3","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.2",,,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",2,,9,100,9,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"85d97400-91f8-4730-9753-635cc75dd3c4","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.1",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"cda53843-def6-4d56-8337-183f725e19ef","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",2,"2a",4,100,4,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"6e70ffcf-8960-4958-b410-cf9000e9eb4b","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.2",,,"LYPDIV","Y","Lype diversa",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Psychomyiidae","Psychomyiinae",,,"Lype","diversa",,"larva",1,,4,100,4,"N","N","condition OK","Y",,"Wiggins 1996","N","EcoAnalysts Inc.","J. Pfeiffer",,
"219528fa-6672-409f-99a5-a690356f2585","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"larva",4,"4a",1,56,2,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,
"bae76f03-92ec-4a07-bc80-406c125df9b2","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.1",,,"ACRSP4","Y","Acroneuria sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlidae","Acroneuriinae","Acroneuriini",,"Acroneuria","sp.",,"larva",9,,1,100,1,"Y","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","J. Pfeiffer",,
"12f14701-4f55-4373-8e48-7c39cc8d78fa","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.2",,,"LEPSP4","Y","Leptophlebiidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,,"sp.",,"larva",1,,3,100,3,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"50b69642-2e2b-446b-97fc-7721f412b832","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.2",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",4,,2,100,2,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"be633c21-ef6e-40e1-9df0-77c4d32a9e8e","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.2",,,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",4,,2,100,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"cce1edd7-343e-44c1-8020-ee800cfa886f","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.4",,,"CORSP19","Y","Corynoneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Corynoneura","sp.",,"larva",2,,5,75,7,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"52da074f-47bb-41f9-b787-1b95805d509f","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.2",,,"PERSP2","Y","Perlodidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlodidae",,,,,"sp.",,"larva",1,,8,100,8,"Y","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","J. Pfeiffer",,
"f71bd584-7a69-4a24-8d2d-038edb51f659","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.2",,,"CRYSP2","Y","Cryptochironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Cryptochironomus","sp.",,"larva",2,,4,100,4,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"4fff712c-b64e-4138-aeaa-f9dbe8f66047","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-03","MAYF.20171030.SNAG.4",,,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",1,,2,75,3,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"606dc4b0-a1a1-4a35-9322-260efb8afa51","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"STESP8","Y","Stenochironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Stenochironomus","sp.",,"larva",4,,1,56,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"eabf3401-7131-4094-81b4-a7b0efbf1692","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"POLSP13","Y","Polypedilum sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","sp.",,"larva",3,,2,56,4,"Y","N","condition OK","N",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","W. Hoiland",,
"8f61f2ff-cace-46ce-8e70-b8321430b4b8","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"XYLPAR","Y","Xylotopus par",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Xylotopus","par",,"larva",2,,5,56,9,"N","N","damaged, affecting measurement","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"18406385-05a6-4dc0-91b6-4841fb135472","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"PENSP6","Y","Pentaneurini sp.",,"tribe","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,,"sp.",,"larva",1,,12,56,21,"Y","N","condition OK","N",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"abc8b6fd-4a70-4ea6-b5be-a1f41b299092","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.2",,,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"pupa",2,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"d8f33897-1f52-4ea0-83eb-9aea34983c2c","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-03","MAYF.20171030.SNAG.4",,,"NEMSP","Y","Nematoda sp.",,"phylum","Nematoda",,,,,,,,,,,,,,,"sp.",,"larva",2,,3,75,4,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","J. Pfeiffer",,
"67a45c5f-b15f-4224-b97c-962159799902","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-03","MAYF.20171030.SNAG.4",,,"LEPSP4","Y","Leptophlebiidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,,"sp.",,"larva",1,,5,75,7,"Y","N","damaged, affecting taxonomy","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"b86f71c9-c9de-46ff-a7e2-22fe57b9af3b","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.4",,,"ENCSP1","Y","Enchytraeidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Enchytraeida",,,,"Enchytraeidae",,,,,"sp.",,"larva",2,,2,75,3,"N","N","damaged, affecting measurement","Y",,"Kathman and Brinkhurst, 1999","N","EcoAnalysts Inc.","L. Flaherty",,
"0caf7cf6-9ee0-4386-a610-0fafefbe9acc","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"RHESP1","Y","Rheocricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheocricotopus","sp.",,"larva",3,,29,100,29,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"af579973-6f3a-44a9-99cc-7e07248edc6d","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"ABLSP","Y","Ablabesmyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","sp.",,"larva",2,,2,100,2,"Y","N","condition OK","Y",,"Roback 1985 and Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"1beb3eea-e307-42b3-bd79-e90f3eb85cd2","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",2,"2b",7,100,7,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"8d90fabb-d62e-487b-9141-739d4df88962","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"MICPED","Y","Microtendipes pedellus gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Microtendipes","pedellus gr.",,"larva",2,,1,56,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"fe1336fb-3481-4565-9010-8d1795884558","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"STESP8","Y","Stenochironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Stenochironomus","sp.",,"larva",5,,2,100,2,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"ac2c369a-1b01-42b5-be1c-07306ab870d6","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"RHESP1","Y","Rheocricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheocricotopus","sp.",,"larva",4,,3,56,5,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"a7bcfa14-5548-42a1-bb13-6a4175be3ca9","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.2",,,"ANCBIC","Y","Anchytarsus bicolor",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Ptilodactylidae","Anchytarsinae",,,"Anchytarsus","bicolor",,"larva",2,,1,100,1,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"16b255e6-cd7b-49e1-b14b-bb9860bb2530","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-03","MAYF.20171030.SNAG.4",,,"CLASP9","Y","Clathrosperchon sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hydryphantoidea","Rhynchohydracaridae",,,,"Clathrosperchon","sp.",,"larva",1,,1,75,1,"N","N","condition OK","Y",,"Thorp and Covich 2001","N","EcoAnalysts Inc.","J. Pfeiffer",,
"c7cb83ab-a369-4768-aed3-5005232effef","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.4",,,"STEPER","Y","Stelechomyia perpulchra",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Stelechomyia","perpulchra",,"larva",2,,2,75,3,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","W. Hoiland",,
"443994e8-4acd-4276-a846-db7adf4d5e26","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.1",,,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",2,,12,100,12,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"7cab9d69-1647-453f-9d0f-db9a7e6bbb37","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.1",,,"POLSCA","Y","Polypedilum scalaenum gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Polypedilum","scalaenum gr.",,"larva",2,,3,100,3,"N","N","condition OK","Y",,"Epler 2001, and Maschwitz and Cook 2000","N","EcoAnalysts Inc.","W. Hoiland",,
"dd666470-f93d-4809-84e6-3bf5c25c74b7","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-04","MAYF.20171030.SNAG.5",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",4,,1,56,2,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"3aaf1cde-deaa-4fc9-9f9b-77275ff2f181","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-12","MAYF.20171030.SNAG.2",,,"RHESP1","Y","Rheocricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheocricotopus","sp.",,"larva",3,,1,100,1,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"bf3a17dc-4201-4e4b-baf7-f60354591022","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-03","MAYF.20171030.SNAG.4",,,"STESP6","Y","Stenelmis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Stenelmis","sp.",,"larva",2,,3,75,4,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"8a0c6be4-8109-4468-84ea-c1de9639b234","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-04","MAYF.20171030.SNAG.5",,,"BEZSP1","Y","Bezzia/Palpomyia sp.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae","Palpomyiini",,"Bezzia/Palpomyia","sp.",,"larva",3,,7,56,12,"N","N","condition OK","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"96803b16-8fc9-41e7-965b-7626a3a2c9ac","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-04","MAYF.20171030.SNAG.5",,,"LEPSP4","Y","Leptophlebiidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Lanceolata",,"Leptophlebiidae",,,,,"sp.",,"larva",2,,1,56,2,"Y","N","damaged, affecting taxonomy and measurement","Y",,"Merritt and Cummins 2008","N","EcoAnalysts Inc.","J. Pfeiffer",,
"0c3efb48-3d2b-45b5-a6d2-17113a137f69","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"CRYSP2","Y","Cryptochironomus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Cryptochironomus","sp.",,"larva",2,,2,56,4,"N","N","condition OK","Y",,"Epler 2001","N","EcoAnalysts Inc.","W. Hoiland",,
"88e81d85-5d75-456c-a515-9a93bffd7b19","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-13","MAYF.20171030.SNAG.5",,,"NAISP","Y","Naididae sp.","tubificoid Naididae w/o cap setae sp.","family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Tubificida",,,,"Naididae",,,,,"sp.",,"larva",3,,1,56,2,"N","N","condition OK","Y",,"Kathman and Brinkhurst, 1998","N","EcoAnalysts Inc.","L. Flaherty",,
"5d57c71c-c98f-4552-b44c-dfd2f9ae417d","D08","MAYF","MAYF.AOS.reach","2017-10-30T14:53Z","2018-06-01","MAYF.20171030.SNAG.1",,,"PERSP7","Y","Perlinella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Perlidae","Acroneuriinae","Acroneuriini",,"Perlinella","sp.",,"larva",6,,1,100,1,"N","N","condition OK","Y",,"Stewart and Stark, 2002","N","EcoAnalysts Inc.","J. Pfeiffer",,
