uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"5b8618c2-a7d7-4be2-9f25-248c8d69655e","D08","MAYF","MAYF.AOS.riparian.transect.03","MAYF.03.20190806.C",,1,32.961942,-87.408303,"WGS84",0.2,75.7,0.3,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","downstream",17,11,64.7,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"22b1a94a-7304-495c-ab59-f49efa43dee5","D08","MAYF","MAYF.AOS.riparian.transect.09","MAYF.09.20190806.C",,1,32.956931,-87.407940,"WGS84",0.4,88.7,0.4,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","upstream",17,16,94.1,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"1adeee8d-8289-4ed4-8df4-66f9a65a7704","D08","MAYF","MAYF.AOS.riparian.transect.08","MAYF.08.20190806.C",,1,32.957869,-87.407764,"WGS84",0.2,81.3,0.2,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"d962f9ba-df88-4aef-8de7-33cac9bb49c2","D08","MAYF","MAYF.AOS.riparian.transect.06","MAYF.06.20190806.C",,1,32.959618,-87.407580,"WGS84",0.4,77.4,0.6,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","downstream",17,13,76.5,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"666a6fa9-ac04-4dda-be69-70b0130f7efb","D08","MAYF","MAYF.AOS.riparian.transect.04","MAYF.04.20190806.C",,1,32.961209,-87.408124,"WGS84",0.1,73.5,0.2,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","downstream",17,15,88.2,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"ade57d9e-51db-468f-88dc-d34ed8b7d421","D08","MAYF","MAYF.AOS.riparian.transect.07","MAYF.07.20190806.C",,1,32.958672,-87.407890,"WGS84",0.8,77.8,1.2,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","upstream",17,14,82.4,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"c30a6eca-8b89-4a49-a49f-d8115c3c3ccc","D08","MAYF","MAYF.AOS.riparian.transect.09","MAYF.09.20190806.C",,1,32.956931,-87.407940,"WGS84",0.4,88.7,0.4,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"5c3402d6-54c1-4f00-892e-edda14b116b4","D08","MAYF","MAYF.AOS.riparian.transect.04","MAYF.04.20190806.C",,1,32.961209,-87.408124,"WGS84",0.1,73.5,0.2,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","river Right",17,16,94.1,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"c79aca59-1ead-4dc7-97a3-43e2290f19af","D08","MAYF","MAYF.AOS.riparian.transect.08","MAYF.08.20190806.C",,1,32.957869,-87.407764,"WGS84",0.2,81.3,0.2,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","river Right",17,17,100.0,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
"c1779906-8c59-48fa-9c54-2ca271c22678","D08","MAYF","MAYF.AOS.riparian.transect.05","MAYF.05.20190806.C",,1,32.960450,-87.407787,"WGS84",0.9,71.8,1.3,"2019-08-06T13:28Z","NEON.DOC.003826vC","Center","river Right",17,13,76.5,,"esHShqwTCLwlpQ3erYFW/VChV7JEn+Hh","esHShqwTCLz8b0akKoj0jLuxmdf98pAt",
