uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"8c2e2426-c4fe-4fd0-8b4c-573b8e8bf39a","D17","BIGC","BIGC.AOS.riparian.transect.10",,,,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Right",17,11,64.7,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"1ff753dc-9742-4572-a3a2-c8e1f5008987","D17","BIGC","BIGC.AOS.riparian.transect.10",,,,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,14,82.4,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"fe4af2d6-bf06-4100-a685-fa7c229921b3","D17","BIGC","BIGC.AOS.riparian.transect.10",,,,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,13,76.5,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"24ff3f1a-9df9-47eb-9632-07af9bc5a44c","D17","BIGC","BIGC.AOS.riparian.transect.06",,,,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Right Bank","river Right",17,17,100.0,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"72397f7c-ede4-4b60-a6d3-35be05aa8bce","D17","BIGC","BIGC.AOS.riparian.transect.03",,,,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,12,70.6,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"bce48bc1-4c59-42ad-9f9c-273765484695","D17","BIGC","BIGC.AOS.riparian.transect.06",,,,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"900df656-4a02-4103-a4ec-298fcdca828d","D17","BIGC","BIGC.AOS.riparian.transect.08",,,,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,11,64.7,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"98446606-8ab7-48f6-8a63-9ee1e403f0cd","D17","BIGC","BIGC.AOS.riparian.transect.01",,,,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,15,88.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"f8c9727f-6285-45f1-96e7-70f73b5f4bff","D17","BIGC","BIGC.AOS.riparian.transect.03",,,,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Left Bank","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"bf8417d0-a256-47e4-8e36-60fb53b27215","D17","BIGC","BIGC.AOS.riparian.transect.08",,,,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","downstream",17,14,82.4,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"2c1098ba-0b8d-4d3a-8b9c-ab9fc7a3d06b","D17","BIGC","BIGC.AOS.riparian.transect.03",,,,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,15,88.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"80d65c77-bf4a-40ce-b75d-cfba412efac4","D17","BIGC","BIGC.AOS.riparian.transect.04",,,,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,11,64.7,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"1198787a-0549-4e39-8b01-14bbb4c6de8c","D17","BIGC","BIGC.AOS.riparian.transect.07",,,,37.060952,-119.258135,"WGS84",0.4,1150.8,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"7916d0eb-e17e-4d3a-a075-a275f1f00349","D17","BIGC","BIGC.AOS.riparian.transect.06",,,,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","upstream",17,15,88.2,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"19b49f97-58c7-4850-a7c5-0f7545a9f82b","D17","BIGC","BIGC.AOS.riparian.transect.02",,,,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Left",17,10,58.8,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
"070307d8-d165-4388-b84f-7e2493b83e3f","D17","BIGC","BIGC.AOS.riparian.transect.01",,,,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2018-07-11T16:02Z","NEON.DOC.003826vC","Center","river Right",17,16,94.1,,"wAKYD/eAH2+H7ZzKDwUwyXH8yJUJ2tB9PP5h5fu6Vn4=","lX3vzM5VjEj+xgIr43jXDA9H25QCvS0VHwma6LUTkqw=",
