uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"f10078f7-c17c-47b1-91fd-6adfe611eb6f","D18","OKSR","OKSR.AOS.riparian.transect.03","OKSR.03.20190708.C",,1,68.670368,-149.140758,"WGS84",0.4,767.7,0.5,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","upstream",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"e07313d0-35ac-44c2-bf44-33f8b7e55fb6","D18","OKSR","OKSR.AOS.riparian.transect.06","OKSR.06.20190708.L",,1,68.669145,-149.144536,"WGS84",0.3,768.3,0.5,"2019-07-08T18:47Z","NEON.DOC.003826vC","Left Bank","river Left",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"3518273c-fdae-463b-950f-78d652c98703","D18","OKSR","OKSR.AOS.riparian.transect.02","OKSR.02.20190708.C",,1,68.670851,-149.138767,"WGS84",0.4,766.3,0.6,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","downstream",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"300a16f0-d569-4a62-a4fc-87f631c0e923","D18","OKSR","OKSR.AOS.riparian.transect.04","OKSR.04.20190708.C",,1,68.669612,-149.141683,"WGS84",0.4,767.8,0.4,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Left",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"764afdcd-ff5a-4860-9573-0847c879caa6","D18","OKSR","OKSR.AOS.riparian.transect.01","OKSR.01.20190708.C",,1,68.671416,-149.137117,"WGS84",0.1,765.9,0.1,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Right",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"32b3d60a-d237-46c2-9fae-221438e48e6d","D18","OKSR","OKSR.AOS.riparian.transect.02","OKSR.02.20190708.C",,1,68.670851,-149.138767,"WGS84",0.4,766.3,0.6,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Left",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"938fad6c-4f24-4ac5-aaef-987973a58196","D18","OKSR","OKSR.AOS.riparian.transect.03","OKSR.03.20190708.C",,1,68.670368,-149.140758,"WGS84",0.4,767.7,0.5,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Right",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"f16a4877-1cac-45ab-89d7-30572045ac11","D18","OKSR","OKSR.AOS.riparian.transect.04","OKSR.04.20190708.C",,1,68.669612,-149.141683,"WGS84",0.4,767.8,0.4,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Right",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"36790133-17d5-4eb1-8ef8-76dfa2cb44fc","D18","OKSR","OKSR.AOS.riparian.transect.01","OKSR.01.20190708.C",,1,68.671416,-149.137117,"WGS84",0.1,765.9,0.1,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","river Left",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
"6e4f0225-7e44-4769-a3df-57357d413e6d","D18","OKSR","OKSR.AOS.riparian.transect.09","OKSR.09.20190708.C",,1,68.668880,-149.151299,"WGS84",0.1,770.7,0.1,"2019-07-08T18:47Z","NEON.DOC.003826vC","Center","upstream",17,0,0.0,,"esHShqwTCLw28LpTzPCKu0rGSr6MTOex","esHShqwTCLwhkQJESR/lNcpHYCY5fN2a",
